0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	139.27	91.9405	60.9613	64.6162	32.5738	25.9729	138.904	39.5074	27.4413	66.2086	113.694	131.611	127.468	65.3979	44.9232
139.27	0	100.116	179.515	103.123	123.735	126.164	15.603	99.9593	127.29	74.2552	28.5496	33.6121	50.0062	84.0293	106.372
91.9405	100.116	0	97.8073	112.312	60.0622	100.133	110.151	73.5884	102.446	75.1476	91.7176	72.4679	124.52	92.944	48.2572
60.9613	179.515	97.8073	0	124.708	56.8047	86.9158	183.419	90.5319	88.3971	115.452	158.814	161.707	180.147	121.062	73.3374
64.6162	103.123	112.312	124.708	0	77.0063	39.4214	96.1781	42.187	38.7395	40.5925	74.6024	111.651	72.5487	22.391	72.168
32.5738	123.735	60.0622	56.8047	77.0063	0	48.2234	126.841	36.6865	50.5106	59.2494	102.084	109.391	123.951	67.627	17.7822
25.9729	126.164	100.133	86.9158	39.4214	48.2234	0	123.251	30.3249	2.35548	52.1009	98.6939	124.615	106.91	45.0733	52.3394
138.904	15.603	110.151	183.419	96.1781	126.841	123.251	0	99.4174	124.117	72.7378	25.2504	48.2402	35.6635	79.1973	110.127
39.5074	99.9593	73.5884	90.5319	42.187	36.6865	30.3249	99.4174	0	32.275	26.8421	74.1943	95.045	90.1977	31.0351	30.0179
27.4413	127.29	102.446	88.3971	38.7395	50.5106	2.35548	124.117	32.275	0	53.3825	99.6794	126.248	107.149	45.5938	54.6839
66.2086	74.2552	75.1476	115.452	40.5925	59.2494	52.1009	72.7378	26.8421	53.3825	0	47.5955	74.3248	64.7428	18.6794	46.1532
113.694	28.5496	91.7176	158.814	74.6024	102.084	98.6939	25.2504	74.1943	99.6794	47.5955	0	45.4546	34.7621	55.6451	85.7255
131.611	33.6121	72.4679	161.707	111.651	109.391	124.615	48.2402	95.045	126.248	74.3248	45.4546	0	77.7879	89.7403	91.6477
127.468	50.0062	124.52	180.147	72.5487	123.951	106.91	35.6635	90.1977	107.149	64.7428	34.7621	77.7879	0	62.2801	109.828
65.3979	84.0293	92.944	121.062	22.391	67.627	45.0733	79.1973	31.0351	45.5938	18.6794	55.6451	89.7403	62.2801	0	58.2532
44.9232	106.372	48.2572	73.3374	72.168	17.7822	52.3394	110.127	30.0179	54.6839	46.1532	85.7255	91.6477	109.828	58.2532	0
