0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	91,379	83,6732	114,286	154,911	56,1156	85,4126	66,5816	14,6539	40,8371	38,8279	75,3339	58,5386	71,7699	17,7002	78,2023
91,379	0	139,094	163,862	196,782	63,5562	102,392	33,8897	100,345	103,454	78,5533	36,0969	71,9927	159,391	103,202	79,4796
83,6732	139,094	0	30,6129	71,3636	75,5951	50,1056	131,788	69,9829	44,0034	63,4992	142,73	139,47	66,606	67,6979	68,4738
114,286	163,862	30,6129	0	40,911	100,705	65,1809	159,96	100,551	74,3756	91,9158	170,983	169,731	87,6643	98,2098	87,4798
154,911	196,782	71,3636	40,911	0	135,536	94,5012	196,873	141,344	114,579	129,993	207,9	209,42	124,529	139,054	117,603
56,1156	63,5562	75,5951	100,705	135,536	0	43,9379	62,3453	55,6943	44,6177	21,3204	73,2062	84,7387	106,286	57,2214	26,0122
85,4126	102,392	50,1056	65,1809	94,5012	43,9379	0	106,19	77,5909	51,1747	48,1144	116,966	126,948	106,148	77,2734	23,128
66,5816	33,8897	131,788	159,96	196,873	62,3453	106,19	0	78,5408	90,3548	68,3071	11,0375	38,3165	138,032	81,7043	85,8915
14,6539	100,345	69,9829	100,551	141,344	55,6943	77,5909	78,5408	0	28,8906	35,3557	87,9439	73,1657	59,6886	3,2218	74,2056
40,8371	103,454	44,0034	74,3756	114,579	44,6177	51,1747	90,3548	28,8906	0	25,068	101,028	95,4673	62,2863	27,6329	53,7811
38,8279	78,5533	63,4992	91,9158	129,993	21,3204	48,1144	68,3071	35,3557	25,068	0	79,2755	80,8526	85,3667	36,5101	39,5143
75,3339	36,0969	142,73	170,983	207,9	73,2062	116,966	11,0375	87,9439	101,028	79,2755	0	37,733	147,073	91,1415	96,3493
58,5386	71,9927	139,47	169,731	209,42	84,7387	126,948	38,3165	73,1657	95,4673	80,8526	37,733	0	126,713	76,2388	110,671
71,7699	159,391	66,606	87,6643	124,529	106,286	106,148	138,032	59,6886	62,2863	85,3667	147,073	126,713	0	56,621	114,906
17,7002	103,202	67,6979	98,2098	139,054	57,2214	77,2734	81,7043	3,2218	27,6329	36,5101	91,1415	76,2388	56,621	0	74,8598
78,2023	79,4796	68,4738	87,4798	117,603	26,0122	23,128	85,8915	74,2056	53,7811	39,5143	96,3493	110,671	114,906	74,8598	0
