0	1	2	3	4	5	6	7	8	9	10
0	105,982	80,449	125,822	75,0746	63,4558	45,4143	95,9135	73,8487	60,7405	107,153
105,982	0	94,091	52,7714	153,412	87,2982	136,355	74,6839	76,973	45,4335	73,2648
80,449	94,091	0	74,6717	73,2127	17,4936	73,5342	137,204	17,6117	68,2767	40,08
125,822	52,7714	74,6717	0	146,877	78,5066	140,251	125,687	63,7913	72,7754	36,9047
75,0746	153,412	73,2127	146,877	0	69,3425	30,9325	167,845	83,4959	112,744	113,293
63,4558	87,2982	17,4936	78,5066	69,3425	0	62,6846	122,543	14,8003	54,9089	48,8338
45,4143	136,355	73,5342	140,251	30,9325	62,6846	0	140,468	77,3747	92,4386	111,308
95,9135	74,6839	137,204	125,687	167,845	122,543	140,468	0	120,672	69,2845	135,171
73,8487	76,973	17,6117	63,7913	83,4959	14,8003	77,3747	120,672	0	51,4359	34,7378
60,7405	45,4335	68,2767	72,7754	112,744	54,9089	92,4386	69,2845	51,4359	0	69,3304
107,153	73,2648	40,08	36,9047	113,293	48,8338	111,308	135,171	34,7378	69,3304	0
