0	1	2	3	4	5	6	7	8	9	10
0	49.4743	44.8021	81.9463	58.8058	63.193	108.281	49.8482	43.0174	87.9097	108.044
49.4743	0	11.0939	115.013	96.7883	13.9155	132.443	33.4576	50.5155	128.627	63.0407
44.8021	11.0939	0	104.735	87.3442	22.859	121.473	22.7122	39.5654	119.295	73.1401
81.9463	115.013	104.735	0	24.4132	127.554	32.6539	88.7834	66.7284	25.766	177.872
58.8058	96.7883	87.3442	24.4132	0	110.086	55.535	75.172	53.2483	31.9705	159.761
63.193	13.9155	22.859	127.554	110.086	0	143.384	42.1734	61.8216	142.004	50.3794
108.281	132.443	121.473	32.6539	55.535	143.384	0	101.653	81.9274	52.5492	193.323
49.8482	33.4576	22.7122	88.7834	75.172	42.1734	101.653	0	22.2306	106.713	91.6829
43.0174	50.5155	39.5654	66.7284	53.2483	61.8216	81.9274	22.2306	0	84.5755	112.13
87.9097	128.627	119.295	25.766	31.9705	142.004	52.5492	106.713	84.5755	0	191.512
108.044	63.0407	73.1401	177.872	159.761	50.3794	193.323	91.6829	112.13	191.512	0
