0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	102,537	7,51404	51,7981	143,623	98,2877	66,1515	71,1273	88,6439	76,0671	26,8814	58,0572	93,0099	78,5068	58,5797	15,6276
102,537	0	98,1018	120,292	194,435	7,99451	93,6553	31,7551	169,161	48,2193	81,2903	54,0367	49,3842	160,551	112,477	87,0278
7,51404	98,1018	0	58,3673	150,476	93,4524	58,7952	66,4379	96,1444	74,9311	19,9396	56,5868	86,1646	86,0083	64,1915	13,3565
51,7981	120,292	58,3673	0	92,2959	119,344	116,198	94,9962	48,8765	76,4157	72,0268	66,2601	130,173	40,4271	14,2548	54,2029
143,623	194,435	150,476	92,2959	0	196,252	208,476	177,174	68,9178	146,238	164,021	145,401	216,997	76,0673	90,4113	146,237
98,2877	7,99451	93,4524	119,344	196,252	0	86,0375	27,1813	168,184	50,2922	75,9155	53,3367	41,5039	159,326	112,366	82,9632
66,1515	93,6553	58,7952	116,198	208,476	86,0375	0	68,8318	154,472	100,434	45,0282	85,019	53,6738	144,342	119,616	62,4729
71,1273	31,7551	66,4379	94,9962	177,174	27,1813	68,8318	0	143,464	37,799	49,6221	31,8026	42,1559	134,272	89,7072	55,782
88,6439	169,161	96,1444	48,8765	68,9178	168,184	154,472	143,464	0	124,507	113,903	115,134	176,649	10,1386	58,2267	96,9218
76,0671	48,2193	74,9311	76,4157	146,238	50,2922	100,434	37,799	124,507	0	66,4832	18,4469	79,6445	116,701	66,4892	61,5997
26,8814	81,2903	19,9396	72,0268	164,021	75,9155	45,0282	49,6221	113,903	66,4832	0	48,3817	66,2287	103,828	74,6342	17,8243
58,0572	54,0367	56,5868	66,2601	145,401	53,3367	85,019	31,8026	115,134	18,4469	48,3817	0	72,9614	106,526	59,0906	43,2941
93,0099	49,3842	86,1646	130,173	216,997	41,5039	53,6738	42,1559	176,649	79,6445	66,2287	72,9614	0	166,862	127,516	80,7506
78,5068	160,551	86,0083	40,4271	76,0673	159,326	144,342	134,272	10,1386	116,701	103,828	106,526	166,862	0	51,1018	86,9257
58,5797	112,477	64,1915	14,2548	90,4113	112,366	119,616	89,7072	58,2267	66,4892	74,6342	59,0906	127,516	51,1018	0	57,2148
15,6276	87,0278	13,3565	54,2029	146,237	82,9632	62,4729	55,782	96,9218	61,5997	17,8243	43,2941	80,7506	86,9257	57,2148	0
