0	1	2	3	4	5	6	7	8	9	10
0	49,6992	89,3909	28,8982	82,3124	8,21321	90,4576	166,956	120,625	132,554	88,5919
49,6992	0	102,645	78,4963	111,106	51,1979	119,232	212,144	169,868	181,858	137,874
89,3909	102,645	0	96,5645	33,1645	81,2178	35,6621	147,161	137,486	169,864	114,691
28,8982	78,4963	96,5645	0	79,2507	30,0618	86,377	143,898	93,0562	103,689	61,1953
82,3124	111,106	33,1645	79,2507	0	74,4681	8,30941	116,334	104,661	138,368	83,644
8,21321	51,1979	81,2178	30,0618	74,4681	0	82,6596	162,527	118,748	133,177	86,8063
90,4576	119,232	35,6621	86,377	8,30941	82,6596	0	111,747	104,797	139,985	85,9656
166,956	212,144	147,161	143,898	116,334	162,527	111,747	0	65,3877	99,1202	87,7316
120,625	169,868	137,486	93,0562	104,661	118,748	104,797	65,3877	0	40,6961	32,0332
132,554	181,858	169,864	103,689	138,368	133,177	139,985	99,1202	40,6961	0	55,2297
88,5919	137,874	114,691	61,1953	83,644	86,8063	85,9656	87,7316	32,0332	55,2297	0
