0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	47,7212	109,239	66,2693	34,2378	8,38405	108,177	106,435	99,0387	117,256	109,673	62,2674	38,7574	60,7126	94,8244	46,2095
47,7212	0	151,71	53,3553	77,6939	40,7496	149,255	143,37	144,859	159,296	76,8932	27,7982	37,9695	99,5055	142,514	92,737
109,239	151,71	0	132,429	102,721	117,62	7,9339	27,2882	25,0885	8,24437	180,336	152,07	146,522	52,874	54,3387	65,3925
66,2693	53,3553	132,429	0	99,7186	65,8722	127,51	115,557	134,677	138,489	49,5562	31,0379	84,2842	81,726	143,269	92,2473
34,2378	77,6939	102,721	99,7186	0	38,1174	104,189	108,636	85,59	110,944	143,908	95,9747	52,3964	66,9708	72,1455	39,192
8,38405	40,7496	117,62	65,8722	38,1174	0	116,522	114,517	107,278	125,633	106,751	57,9886	31,0098	68,798	102,284	54,4239
108,177	149,255	7,9339	127,51	104,189	116,522	0	19,3731	31,5862	11,0145	174,879	148,267	146,049	49,7983	60,6686	65,8911
106,435	143,37	27,2882	115,557	108,636	114,517	19,3731	0	48,6982	28,384	161,204	138,982	145,124	45,7246	76,6259	69,4462
99,0387	144,859	25,0885	134,677	85,59	107,278	31,5862	48,6982	0	31,3918	183,992	149,781	133,737	53,1439	29,2513	52,8563
117,256	159,296	8,24437	138,489	110,944	125,633	11,0145	28,384	31,3918	0	185,892	158,959	154,666	60,0883	60,3333	73,6184
109,673	76,8932	180,336	49,5562	143,908	106,751	174,879	161,204	183,992	185,892	0	50,261	114,715	130,894	192,689	141,348
62,2674	27,7982	152,07	31,0379	95,9747	57,9886	148,267	138,982	149,781	158,959	50,261	0	64,8361	99,3163	152,741	100,968
38,7574	37,9695	146,522	84,2842	52,3964	31,0098	146,049	145,124	133,737	154,666	114,715	64,8361	0	99,4229	124,046	81,5965
60,7126	99,5055	52,874	81,726	66,9708	68,798	49,7983	45,7246	53,1439	60,0883	130,894	99,3163	99,4229	0	66,9735	30,1487
94,8244	142,514	54,3387	143,269	72,1455	102,284	60,6686	76,6259	29,2513	60,3333	192,689	152,741	124,046	66,9735	0	51,8873
46,2095	92,737	65,3925	92,2473	39,192	54,4239	65,8911	69,4462	52,8563	73,6184	141,348	100,968	81,5965	30,1487	51,8873	0
