0	1	2	3	4	5	6	7	8	9	10
0	24.1303	22.0323	60.9134	21.3366	107.211	147.7	197.439	26.9421	157.599	110.507
24.1303	0	39.7067	52.063	8.20616	84.215	124.668	174.243	46.4092	133.913	90.638
22.0323	39.7067	0	82.9069	32.9853	123.575	154.05	203.746	7.06685	172.244	129.963
60.9134	52.063	82.9069	0	59.8476	74.0205	142.71	188.246	87.6731	124.61	62.321
21.3366	8.20616	32.9853	59.8476	0	90.6003	126.415	176.179	39.9124	139.47	98.2987
107.211	84.215	123.575	74.0205	90.6003	0	79.3452	118.426	130.45	51.8697	29.1276
147.7	124.668	154.05	142.71	126.415	79.3452	0	49.8104	160.821	69.443	107.968
197.439	174.243	203.746	188.246	176.179	118.426	49.8104	0	210.475	86.5032	144.215
26.9421	46.4092	7.06685	87.6731	39.9124	130.45	160.821	210.475	0	179.264	136.315
157.599	133.913	172.244	124.61	139.47	51.8697	69.443	86.5032	179.264	0	66.8409
110.507	90.638	129.963	62.321	98.2987	29.1276	107.968	144.215	136.315	66.8409	0
