0	1	2	3	4	5	6	7	8	9	10
0	60.1248	107.567	158.982	50.7413	64.2901	42.7186	23.0903	55.2745	67.5584	121.813
60.1248	0	131.709	191.817	110.394	16.1668	102.796	58.3238	40.3808	126.786	158.282
107.567	131.709	0	61.4675	119.734	120.595	111.446	130.554	92.1328	101.982	37.0056
158.982	191.817	61.4675	0	154.926	181.531	149.186	181.833	152.99	128.852	37.6076
50.7413	110.394	119.734	154.926	0	114.969	9.87668	57.541	102.393	29.788	118.208
64.2901	16.1668	120.595	181.531	114.969	0	106.544	67.8688	28.5433	127.92	149.4
42.7186	102.796	111.446	149.186	9.87668	106.544	0	52.6352	92.9708	29.5562	112.049
23.0903	58.3238	130.554	181.833	57.541	67.8688	52.6352	0	68.3457	81.3635	144.534
55.2745	40.3808	92.1328	152.99	102.393	28.5433	92.9708	68.3457	0	109.437	121.06
67.5584	126.786	101.982	128.852	29.788	127.92	29.5562	81.3635	109.437	0	93.4649
121.813	158.282	37.0056	37.6076	118.208	149.4	112.049	144.534	121.06	93.4649	0
