0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	3.046309242	3.6	4.472135955	5	4.123105626	2.236067977	4.242640687	5.249761899	6.403124237	5.099019514	6.708203932	3	2.236067977	6.403124237	6.08276253	5.830951895	6.08276253	3.16227766	6.403124237	6.32455532	3.605551275	5.385164807	7.211102551	6	6.708203932	2.236067977	1	1.264911064	5.966573556	5.099019514	3.492849839	6.8	4.951767361	7.211102551	8.207313811	8.280096618	4.242640687	8.485281374	6.794115101	2.236067977	5.772347876	5.099019514	6.835202996	6.378087488	5.830951895	7.09365914	6.841052551	5.56057551	8.786353055	3.39411255
3.046309242	0	6.511528238	2.912043956	6.440496875	6.440496875	4.967896939	4.204759208	6.315061362	3.560898763	3.111269837	5.280151513	3.328663395	5.280151513	9.374433316	9.070832376	8.489994111	8.141252975	4.569463864	5.646237685	3.2984845	5.854912467	7.840918314	9.234717104	5.556977596	7.52861209	3.883297568	2.163330765	2.4	4.808326112	2.209072203	2.088061302	4.176122604	2.473863375	4.947726751	5.440588203	8.104319836	7.161005516	11.37013632	8.318653737	4.80416486	8.402380615	8.143709229	9.879271228	9.219544457	7.337574531	7.802563681	6.746851117	5.632051136	7.964923101	1.264911064
3.6	6.511528238	0	6.881860214	4.044749683	4.770744177	3.280243893	7.249827584	7.213875519	9.484724561	8.657944329	10.05783277	4.686149806	1.886796226	4.23792402	2.6	5.035871325	6.53911309	5.491812087	9.484724561	9.806120538	2.088061302	2.441311123	4.664761516	6.997142274	6.029925373	3.280243893	4.6	4.176122604	7.657675888	8.657944329	7.045565982	10.4	7.871467462	9.68297475	11.11395519	10.84066419	3.059411708	6.462197769	5.099019514	1.886796226	2.441311123	2.416609195	3.687817783	4.837354649	7.161005516	9.055385138	9.486832981	8.268010643	11.73371212	6.462197769
4.472135955	2.912043956	6.881860214	0	5	8.544003745	6.708203932	7.071067812	9.008884504	3	5.830951895	8.062257748	2.236067977	6.403124237	10.63014581	9.433981132	10.29563014	10.44030651	7.071067812	8.544003745	4.472135955	5.385164807	7.280109889	8	2.828427125	5.385164807	3.605551275	4.123105626	3.224903099	1.897366596	4.242640687	5	6.248199741	1.456021978	2.828427125	4.308131846	11.01635148	8.602325267	12.80624847	6.675327707	5	8.032434251	9.055385138	10.56030303	10.76475731	9.899494937	10.61696755	9.654014709	8.515867542	10.82589488	1.64924225
5	6.440496875	4.044749683	5	0	8.246211251	6.32455532	9.219544457	10.10742301	8	9.433981132	11.40175425	3.16227766	5.099019514	8.246211251	5.830951895	9	10.19803903	8.062257748	11.3137085	9.219544457	2	2.828427125	3	3.605551275	2	2.828427125	5.656854249	4.404543109	4.75394573	8.544003745	8	10.5848949	6.412487817	7.280109889	9.141115906	13.28006024	7	10.44030651	1.886796226	3.16227766	3.676955262	6.403124237	7.247068373	8.881441324	10.44030651	11.98832766	11.84060809	10.56030303	13.71860051	5.632051136
4.123105626	6.440496875	4.770744177	8.544003745	8.246211251	0	2	4.123105626	2.785677655	10	6.708203932	7.071067812	7.071067812	3.16227766	4	5.830951895	2.236067977	2	2.236067977	6	9.219544457	6.32455532	7.211102551	9.433981132	10.04987562	10.19803903	6	4.472135955	5.385164807	10.0895986	7.810249676	5.440588203	8.7658428	8.78179936	11.18033989	11.88107739	6.53911309	2.236067977	5.385164807	9.693296653	5.099019514	7.09365914	4.024922359	5.632051136	3.2984845	2.408318916	4.440720662	5.385164807	4.418144407	7.810249676	7.247068373
2.236067977	4.967896939	3.280243893	6.708203932	6.32455532	2	0	4.123105626	3.969886648	8.485281374	6.08276253	7.071067812	5.099019514	1.414213562	4.472135955	5.099019514	3.605551275	4	2.236067977	6.32455532	8.062257748	4.472135955	5.656854249	7.810249676	8.062257748	8.246211251	4	2.828427125	3.492849839	8.160882305	6.708203932	4.5607017	8.052328856	7.121797526	9.433981132	10.33247308	7.560423269	2.236067977	6.403124237	7.871467462	3.16227766	5.720139858	3.605551275	5.414794548	4.252058325	4.123105626	5.841232747	6.212889827	5.011985634	8.497058314	5.56057551
4.242640687	4.204759208	7.249827584	7.071067812	9.219544457	4.123105626	4.123105626	0	2.441311123	7.280109889	2.828427125	3	6.708203932	5.385164807	8.062257748	9.219544457	6.32455532	5	2	2.236067977	5.830951895	7.810249676	9.433981132	11.40175425	9.486832981	10.81665383	6.403124237	3.605551275	4.939635614	8.94427191	4.472135955	2.236067977	4.841487375	6.612110102	9.055385138	9.108238029	4.118252056	6	9.486832981	11.03449138	6.403124237	9.660227741	7.64198927	9.419129471	7.421590126	3.687817783	3.622154055	2.683281573	1.456021978	4.5607017	5.433231083
5.249761899	6.315061362	7.213875519	9.008884504	10.10742301	2.785677655	3.969886648	2.441311123	0	9.620810777	5.249761899	4.833218389	8.158431222	5.381449619	6.675327707	8.588364221	4.6	2.785677655	2.088061302	3.544009029	8.268010643	8.376156637	9.620810777	11.77964346	11.11575459	11.92308685	7.467261881	5.035871325	6.315061362	10.80185169	6.89637586	4.569463864	7.213875519	8.786353055	11.25877436	11.47693339	3.757658846	5.015974482	7.665507159	11.76605286	6.997142274	9.633275663	6.802940541	8.411896338	5.803447251	1.280624847	1.886796226	2.630589288	1.897366596	5.06359556	7.443117626
6.403124237	3.560898763	9.484724561	3	8	10	8.485281374	7.280109889	9.620810777	0	5	7.071067812	5.099019514	8.602325267	12.80624847	12.08304597	12.04159458	11.66190379	8.062257748	8	2.236067977	8.246211251	10.19803903	11	5.385164807	8.246211251	6.32455532	5.656854249	5.385164807	4.024922359	3	5.059644256	4.38634244	1.64924225	2.236067977	1.886796226	10.6	10.63014581	14.86606875	9.65194281	7.615773106	10.91421092	11.4280357	13.0736376	12.73106437	10.7424392	10.86830254	9.433981132	8.551023331	9.92975327	3.052867504
