0	0
1	10
2	30
3	10
4	10
5	10
6	20
7	20
8	20
9	10
10	10
11	10
12	20
13	30
14	10
15	40
16	40
17	20
18	20
19	10
20	10
21	20
22	20
23	10
24	10
25	40
26	10
27	10
28	20
29	10
30	10
31	20
32	30
33	40
34	20
35	10
36	10
37	20
38	30
39	20
40	10
41	10
42	20
43	10
44	10
45	10
46	30
47	10
48	10
49	10
50	10
51	10
52	10
53	20
54	40
55	10
56	30
57	40
58	30
59	10
60	20
61	10
62	20
63	50
64	10
65	10
66	10
67	10
68	10
69	10
70	30
71	20
72	10
73	10
74	50
75	20
76	10
77	10
78	20
79	10
80	10
81	30
82	20
83	10
84	20
85	30
86	10
87	20
88	30
89	10
90	10
91	10
92	20
93	40
94	10
95	30
96	10
97	30
98	20
99	10
100	20
