0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0	3,736308338	4,123105626	3,224903099	3,622154055	3,02654919	3,8	3,2	3,622154055	4,019950248	3,352610923	3,929376541	7,615773106	6,16116872	7,871467462	7,211102551	8,062257748	6,660330322	7,071067812	7,810249676	2	2,039607805	2,433105012	2,6	3	3,02654919	3,16227766	3,423448554	3,544009029	4	4,123105626	6,708203932	6,32455532	6,705221846	6,477653896	7,615773106	7,071067812	7,858753082	8,246211251	8,062257748	4,123105626	3,736308338	3,862641583	3,310589071	4,308131846	4,472135955	4,118252056	3,605551275	4,664761516	3,841874542	4,5607017	5	4,242640687	9,035485598	8,009993758	7,011419257	9	7	9,008884504	7,011419257	9,055385138	4,472135955	3,605551275	2,828427125	4,308131846	2,561249695	3,310589071	2,441311123	4,123105626	3,16227766	11,70469991	11,40175425	4,770744177	11,14271062	3,969886648	3,16227766	10,44030651	10,4	10,05783277	10,21567423	10,29563014	9,486832981	7,071067812	6,477653896	6,209669879	5,946427499	5,295280918	5,099019514	5,385164807	4,870318265	4,123105626	4,472135955	8,840814442	8,602325267	8,121576202	7,440430095	7,211102551	8,062257748	6,16116872	6,708203932	7,615773106
3,736308338	0	0,4	0,721110255	0,6	0,848528137	1,019803903	1,077032961	1,4	1,456021978	2,039607805	2,009975124	5,249761899	4,808326112	5,720139858	5,54616985	6,046486583	5,578530272	6,16116872	6,462197769	4,686149806	4,38634244	4,669047012	4,280186912	5,381449619	5,12249939	4,770744177	5,440588203	5,110772936	6,16116872	5,635601121	9,620810777	8,964373932	9,280086206	8,713208364	10,37111373	9,228217596	10,26255329	10,6	10,10742301	7,858753082	7,472616677	7,589466384	7,022819946	8,032434251	8,170679286	7,8	7,249827584	8,325863319	7,424284477	8,141252975	8,588364221	7,717512553	12,6015872	11,61550688	10,61696755	12,63962025	10,64706532	12,67753919	10,69205312	12,75774275	7,665507159	6,675327707	5,688585061	7,623647421	5,632051136	6,612110102	5,614267539	7,6	6,6	12,56025477	11,98165264	7,766595136	12,08801059	6,791170739	0,6	11,16064514	11,47693339	10,84066419	11,32784181	11,74563749	10,37111373	6,53911309	5,993329626	5,385164807	4,870318265	4,939635614	4,770744177	4,308131846	4,118252056	3,969886648	3,4	5,56057551	5,249761899	4,882622246	4,161730409	3,841874542	4,53431362	2,952964612	3,12409987	3,944616585
4,123105626	0,4	0	1	0,721110255	1,166190379	1,019803903	1,280624847	1,456021978	1,4	2,154065923	2,009975124	5	4,707440918	5,491812087	5,385164807	5,830951895	5,491812087	6,08276253	6,32455532	5	4,686149806	4,951767361	4,53431362	5,656854249	5,381449619	5	5,685068161	5,325410782	6,403124237	5,830951895	9,899494937	9,219544457	9,526804291	8,930845425	10,63014581	9,433981132	10,48618138	10,81665383	10,29563014	8,246211251	7,858753082	7,969943538	7,4	8,411896338	8,544003745	8,170679286	7,615773106	8,692525525	7,782030583	8,497058314	8,94427191	8,062257748	13,00153837	12,01499064	11,01635148	13,03840481	11,04536102	13,0751673	11,08873302	13,15294644	8,062257748	7,071067812	6,08276253	8,022468448	6,029925373	7,011419257	6,013318551	8	7	12,80624847	12,20655562	8,158431222	12,3434193	7,180529228	1	11,40175425	11,74563749	11,08873302	11,6	12,04159458	10,63014581	6,708203932	6,177378085	5,54616985	5,015974482	5,16139516	5	4,472135955	4,326661531	4,242640687	3,605551275	5,325410782	5	4,664761516	3,944616585	3,605551275	4,242640687	2,785677655	2,828427125	3,605551275
3,224903099	0,721110255	1	0	0,4	0,2	0,721110255	0,4	0,894427191	1,13137085	1,4	1,523154621	5,099019514	4,38634244	5,51724569	5,215361924	5,813776741	5,126402247	5,692099788	6,08276253	4	3,687817783	3,959797975	3,560898763	4,669047012	4,404543109	4,049691346	4,720169488	4,39089968	5,440588203	4,91934955	8,910667764	8,246211251	8,560373824	7,992496481	9,654014709	8,508818954	9,541488354	9,879271228	9,391485505	7,334848328	6,942621983	7,034202158	6,456004957	7,472616677	7,589466384	7,211102551	6,648308055	7,725283166	6,802940541	7,515317691	7,962411695	7,071067812	12,20655562	11,2	10,2	12,20655562	10,20784012	12,22620137	10,23132445	12,28006515	7,375635566	6,403124237	5,440588203	7,299315036	5,336665626	6,280127387	5,295280918	7,224956747	6,228964601	12,81405478	12,28006515	7,52861209	12,32233744	6,578753681	0,632455532	11,4280357	11,68246549	11,0941426	11,52562363	11,88276062	10,60188662	6,957010852	6,390618123	5,824087911	5,336665626	5,280151513	5,099019514	4,75394573	4,494441011	4,219004622	3,794733192	6,280127387	5,966573556	5,60357029	4,882622246	4,5607017	5,234500931	3,67151195	3,820994635	4,604345773
3,622154055	0,6	0,721110255	0,4	0	0,6	0,447213595	0,565685425	0,8	0,894427191	1,456021978	1,414213562	4,808326112	4,23792402	5,249761899	5,011985634	5,56057551	5	5,578530272	5,909314681	4,326661531	4	4,252058325	3,820994635	4,951767361	4,669047012	4,280186912	4,967896939	4,604345773	5,685068161	5,110772936	9,193475948	8,50411665	8,809086218	8,209750301	9,915644205	8,713208364	9,765244493	10,09554357	9,577055915	7,727871635	7,334848328	7,421590126	6,841052551	7,858753082	7,969943538	7,589466384	7,022819946	8,099382693	7,169379332	7,879086241	8,325863319	7,424284477	12,60634761	11,6	10,6	12,60634761	10,60754448	12,62537128	10,63014581	12,67753919	7,766595136	6,791170739	5,824087911	7,694153625	5,727128425	6,675327707	5,688585061	7,623647421	6,62721661	13,04300579	12,48679302	7,912016178	12,56025477	6,957010852	0,848528137	11,6498927	11,93314711	11,32254388	11,77964346	12,16223664	10,84066419	7,09365914	6,53911309	5,946427499	5,440588203	5,458937626	5,283937925	4,870318265	4,65188134	4,440720662	3,939543121	6,046486583	5,720139858	5,385164807	4,664761516	4,326661531	4,951767361	3,492849839	3,538361203	4,280186912
3,02654919	0,848528137	1,166190379	0,2	0,6	0	0,894427191	0,447213595	1	1,280624847	1,414213562	1,61245155	5,249761899	4,472135955	5,656854249	5,325410782	5,946427499	5,2	5,75847202	6,177378085	3,841874542	3,538361203	3,820994635	3,440930107	4,53431362	4,280186912	3,944616585	4,604345773	4,294182111	5,325410782	4,833218389	8,77268488	8,121576202	8,440379138	7,889233169	9,526804291	8,411896338	9,433981132	9,775479528	9,30376268	7,138627319	6,746851117	6,841052551	6,264183905	7,280109889	7,4	7,022819946	6,462197769	7,53923073	6,621178143	7,334848328	7,782030583	6,89637586	12,00666482	11	10	12,00666482	10,0079968	12,0266371	10,03194896	12,08139065	7,180529228	6,209669879	5,249761899	7,102112362	5,141984053	6,08276253	5,099019514	7,025667228	6,029925373	12,70275561	12,18031198	7,337574531	12,20655562	6,390618123	0,6	11,32077736	11,56027681	10,98362417	11,40175425	11,74563749	10,48618138	6,89637586	6,32455532	5,772347876	5,295280918	5,2	5,015974482	4,707440918	4,427188724	4,118252056	3,736308338	6,403124237	6,095900262	5,720139858	5	4,686149806	5,381449619	3,773592453	3,969886648	4,770744177
3,8	1,019803903	1,019803903	0,721110255	0,447213595	0,894427191	0	0,6	0,447213595	0,447213595	1,166190379	1	4,38634244	3,794733192	4,816637832	4,565084884	5,12249939	4,5607017	5,141984053	5,462600113	4,294182111	3,944616585	4,161730409	3,687817783	4,841487375	4,53431362	4,103656906	4,808326112	4,404543109	5,51724569	4,882622246	9,068627239	8,345058418	8,637129153	8	9,759098319	8,48763807	9,560334722	9,881295462	9,329523032	7,863841301	7,467261881	7,531268154	6,942621983	7,962411695	8,052328856	7,665507159	7,088018059	8,160882305	7,211102551	7,912016178	8,357032966	7,43236167	12,82497563	11,80677771	10,80740487	12,8	10,8	12,80624847	10,80740487	12,83900308	8,052328856	7,088018059	6,13514466	7,962411695	6,016643583	6,942621983	5,966573556	7,863841301	6,873136111	13,48480626	12,93213053	8,221921916	13	7,280109889	1,280624847	12,09297317	12,36931688	11,76435294	12,21474519	12,58729518	11,28007092	7,53923073	6,985699679	6,390618123	5,882176468	5,905929224	5,730619513	5,314132102	5,099019514	4,882622246	4,38634244	6,276941931	5,936328832	5,635601121	4,91934955	4,565084884	5,12249939	3,794733192	3,720215048	4,38634244
3,2	1,077032961	1,280624847	0,4	0,565685425	0,447213595	0,6	0	0,565685425	0,894427191	1	1,166190379	4,841487375	4,024922359	5,234500931	4,882622246	5,51724569	4,75394573	5,314132102	5,730619513	3,773592453	3,440930107	3,687817783	3,255764119	4,38634244	4,103656906	3,720215048	4,404543109	4,049691346	5,12249939	4,565084884	8,627861844	7,939773297	8,246211251	7,655063684	9,350935782	8,163332653	9,208691547	9,541488354	9,035485598	7,269112738	6,873136111	6,942621983	6,356099433	7,375635566	7,472616677	7,088018059	6,51459899	7,589466384	6,648308055	7,353910524	7,8	6,887670143	12,22620137	11,20714058	10,20784012	12,2	10,2	12,20655562	10,20784012	12,240915	7,472616677	6,51459899	5,571355311	7,375635566	5,440588203	6,356099433	5,385164807	7,269112738	6,280127387	13,14686274	12,62695529	7,655063684	12,64911064	6,723094526	1,019803903	11,76605286	12	11,4280357	11,84060809	12,175385	10,92886087	7,337574531	6,767569726	6,209669879	5,727128425	5,646237685	5,462600113	5,141984053	4,870318265	4,565084884	4,176122604	6,603029608	6,280127387	5,936328832	5,215361924	4,882622246	5,51724569	4,024922359	4,103656906	4,841487375
3,622154055	1,4	1,456021978	0,894427191	0,8	1	0,447213595	0,565685425	0	0,4	0,721110255	0,632455532	4,280186912	3,492849839	4,669047012	4,326661531	4,951767361	4,23792402	4,808326112	5,188448708	3,939543121	3,577708764	3,773592453	3,280243893	4,440720662	4,123105626	3,676955262	4,38634244	3,969886648	5,091168825	4,440720662	8,655634003	7,919595949	8,207313811	7,560423269	9,333809512	8,044874144	9,121403401	9,440338977	8,883692926	7,623647421	7,224956747	7,269112738	6,675327707	7,694153625	7,766595136	7,375635566	6,791170739	7,858753082	6,89637586	7,589466384	8,032434251	7,09365914	12,65701387	11,62755348	10,63014581	12,60634761	10,60754448	12,6	10,6	12,61427762	7,969943538	7,022819946	6,092618485	7,858753082	5,946427499	6,841052551	5,882176468	7,727871635	6,746851117	13,70109485	13,17269904	8,170679286	13,20605922	7,249827584	1,523154621	12,31746727	12,56025477	11,98165264	12,4016128	12,74048665	11,48564321	7,84346862	7,280109889	6,705221846	6,209669879	6,174139616	5,993329626	5,632051136	5,385164807	5,110772936	4,681879964	6,723094526	6,381222453	6,08276253	5,366563146	5,011985634	5,56057551	4,23792402	4,161730409	4,808326112
4,019950248	1,456021978	1,4	1,13137085	0,894427191	1,280624847	0,447213595	0,894427191	0,4	0	1	0,632455532	3,969886648	3,352610923	4,38634244	4,118252056	4,686149806	4,123105626	4,707440918	5,015974482	4,308131846	3,939543121	4,118252056	3,605551275	4,770744177	4,440720662	3,969886648	4,686149806	4,242640687	5,381449619	4,686149806	8,964373932	8,207313811	8,485281374	7,810249676	9,620810777	8,280096618	9,372299611	9,68297475	9,097252332	8,022468448	7,623647421	7,665507159	7,071067812	8,089499366	8,158431222	7,766595136	7,180529228	8,246211251	7,280109889	7,969943538	8,411896338	7,467261881	13,05526714	12,0266371	11,02905254	13,00615239	11,00727032	13	11	13,01383879	8,352245207	7,4	6,462197769	8,246211251	6,32455532	7,2277244	6,264183905	8,121576202	7,138627319	13,92695229	13,37759321	8,544003745	13,44023809	7,615773106	1,720465053	12,53634716	12,80624847	12,20655562	12,65069168	13,01383879	11,72006826	7,984985911	7,43236167	6,835202996	6,32455532	6,35295207	6,177378085	5,75847202	5,54616985	5,325410782	4,833218389	6,529931087	6,177378085	5,909314681	5,2	4,833218389	5,325410782	4,123105626	3,944616585	4,53431362
